吉野家,02 2936 6246 ,台北市文山區指南路二段103號(國立政治大學對面) ,08:00~22:30 ,121.5756006,24.98776779
明池豆花,02 8661 7355,台北市文山區指南路二段56號1樓,11:30–23:00,121.575565,24.98765317
世界大同,02 2937 8331,台北市文山區指南路二段52號,,121.5754301,24.9876719
美香味快餐,02 2939 7414,台北市文山區指南路二段50號,11:00–12:00,121.5753865,24.98768032
湯饌,02 2939 0790,台北市文山區指南路二段46號,11:00–14:30  17:00–20:30,121.5754688,24.98778758
勝面,02 2936 4730,台北市文山區指南路2段341號,,121.5751498,24.98774184
東北大餅,,,,121.5749499,24.9877665
丐幫滷味,,台北市 文山區 指南路2段18號,,121.5745757,24.98783466
里克,02 2939 9972,台北市文山區新光路1段221號,11:00–21:00 一公休,121.5735656,24.98852784
樂山日式料理,02 2234 7765,台北市文山區新光路一段26號,11:00–14:00  17:00–20:00,121.5736468,24.98881378
阿展臭豆腐柯仔麵線,02 2936 7739,台北市文山區新光路一段28號,2.513541667,121.5736509,24.98885949
甘泉魚麵,02 2234 9641,台北市文山區新光路一段34號,11:00–14:30  17:00–20:50,121.5736625,24.98910659
韓大佬,02 2938 5008,台北市文山區新光路一段27號,11:00–14:00  17:00–21:00 一休,121.5736596,24.98915253
吃的小館,,台北市文山區指南路二段127號一樓,07:00~21:00,121.5736809,24.98929822
政大烤場,02 8661 5460,台北市文山區指南路二段137號,16:00–00:00,121.5738288,24.98928434
林王鵝肉,02 2939 2921,台北市文山區指南路二段131號,11:00–20:00,121.5770065,24.98747841
墨西哥捲餅,,台北市文山區指南路二段141號,09:00~19:00,121.57695,24.98749293
大正亭,02 2234 9665,台北市文山區指南路二段143號,11:00–21:00,121.5770488,24.98747982
羹大王,02 2939 0491,台北市文山區指南路二段151號,09:00–20:00  週五公休,121.5770886,24.98746871
大呼過癮,02 8661 6828,台北市文山區指南路二段153號,11:00–23:00,121.5771308,24.98746051
提洛斯,02 2939 2585,台北市文山區指南路二段157號,11:30–14:30  16:30–20:30  週日公休,121.5773116,24.98740607
滇味廚房,02 2938 4788,台北市文山區指南路二段167號,11:00–21:00,121.5774407,24.98737368
東京小城,02 2939 4388,台北市文山區指南路二段207號,11:00–19:00,121.5775213,24.98735925
華越美食,02 8661 9291,台北市文山區指南路二段205號,11:00–14:00,121.5776548,24.98732409
長奇和食,02 8661 8066,台北市文山區指南路二段72號,11:00–14:30  16:30–21:00,121.5786203,24.98694462
老麵水煎包,,台北市文山區指南路二段141號,07:00–19:00,121.5786405,24.98692257
魷魚羹,,,,121.5786208,24.98683283
